Observation,# of Antennas 1,Time on Source (min) 2,N*t 3,Dirty RMS (uJy) 4,RMS (uJy) 5,Peak Flux 6,Int. Flux 7,Redshift 8 ,Luminosity Distance (Mpc) 9,Luminosity Distance (cm) 10,Luminosity (erg/s/Hz) 11,Mag L (erg/s/Hz) 12,,,,,,,,,,,,,,,,,
J0146-0915,27,28,745,5,3,0,10,2,12531,38665921394017700000000000000,18013355364753600000000000000000,31,,,,,,,,,,,,,,,,,
J0157-0938,27,28,745,30,10,0,29,2,12530,38663025083654300000000000000,50322944904939800000000000000000,32,,,,,J1058+0152,24,28,662,,distorted,Z=1.6518,,,,,,
J2158+0027,26,28,730,8,5,0,14,2,12527,38654336372702000000000000000,24354570647194000000000000000000,31,,,,,J1135+0014,27,30,801,,distorted,2,,,,,,
J0013-0024,27,32,853,10,6,0,17,2,12528,38657232572993400000000000000,30183581568270900000000000000000,31,,,,,,,,,,,,,,,,,
J1048+0032,26,28,717,12,6,0,17,2,12528,38657232572993400000000000000,30713118087012500000000000000000,31,,,,,,,,,,,,,,,,,
J1135-0226,27,30,801,7,5,0,15,2,12525,38648544082210300000000000000,26463427786386500000000000000000,31,,,,,J1546+1914,27,29,790,66,x,Z=1.6512,,,,,,
J1509+0759,25,29,727,9,6,0,18,2,12539,38691989837784400000000000000,31571250308644900000000000000000,31,,,,,J1338+0846,25,30,742,still dirty,,2,,,,,,
J2131+1047,26,29,754,9,4,0,13,2,12539,38691989837784400000000000000,22285588453161100000000000000000,31,,,,,J0956+5347,,,0,,,,0,2,12536,38683300026488700000000000000,0,
J2346-0029,27,32,853,8,2,0,6,2,12534,38674610545208000000000000000,11131526871577100000000000000000,31,,,,,,,,,,,,,,,,,
J0140+1411,25,28,696,14,9,45,48,2,12526,38651440209106700000000000000,84697258716482100000000000000000,32,detection,,,,,,,,,,,,,,,,
J1445+5245,27,28,765,2,1,5,4,2,12537,38686196593589400000000000000,7001680790834140000000000000000,31,,,,,,,,,,,,,,,,,
J1406+2923b,27,30,803,7,4,0,12,2,12535,38677507002295100000000000000,21206484289006700000000000000000,31,,,,,,,,,,,,,,,,,
J1443+3056b,26,30,769,17,4,0,11,2,12535,38680403496056300000000000000,18558803061344300000000000000000,31,,,,,,,,,,,,,,,,,
J1449+3110,27,30,799,7,3,0,10,2,12531,38665921394017700000000000000,16953746225650400000000000000000,31,,,,,,,,,,,,,,,,,
J1514+5446,26,29,748,3,2,6,11,2,12533,38671714124797300000000000000,19786043904608200000000000000000,31,,,,,,,,,,,,,,,,,
J1535+5402,26,29,756,5,2,5,3,2,12524,38645647992015800000000000000,4762613288080510000000000000000,31,,,,,,,,,,,,,,,,,
J1600+3027,26,30,771,5,2,0,5,2,12534,38674610545208000000000000000,9011236038895730000000000000000,31,,,,,,,,,,,,,,,,,
J1720+2847,26,30,771,2,1,0,4,2,12529,38660128809978400000000000000,7149949099953820000000000000000,31,,,,,,,,,,,,,,,,,
J1144+0202,26,30,771,2,2,0,6,2,12529,38660128809978400000000000000,10857330114744700000000000000000,31,,,,,,,,,,,,,,,,,
J1200+0005,26,30,771,5,4,0,12,2,12528,38657232572993400000000000000,21181460749663800000000000000000,31,,,,,,,,,,,,,,,,,
J1208+6533,25,30,742,5,2,0,6,2,12535,38677507002295100000000000000,11398485305341100000000000000000,31,,,,,,,,,,,,,,,,,
J1241+6246,25,30,742,30,7,31,30,2,12533,38671714124797300000000000000,52874669112939600000000000000000,32,,,,,,,,,,,,,,,,,
J1217+2943,26,31,793,8,3,12,11,2,12530,38663025083654300000000000000,18540032333398900000000000000000,31,,,,,,,,,,,,,,,,,
J1222+4141,25,31,767,3,3,6,6,2,12533,38671714124797300000000000000,11306310802633300000000000000000,31,,,,,,,,,,,,,,,,,
J1353+0718,25,30,742,30,9,22,24,2,12524,38645647992015800000000000000,41805161084262300000000000000000,32,,,,,,,,,,,,,,,,,
J1130+1903,25,30,740,15,3,0,9,2,12532,38668817741066400000000000000,16426712119354200000000000000000,31,,,,,,,,,,,,,,,,,
J1132+1726,27,30,799,5,3,0,8,2,12526,38651440209106700000000000000,13233946674450300000000000000000,31,,,,,,,,,,,,,,,,,
J1100+3150,26,30,778,8,8,32,38,2,12527,38654336372702000000000000000,66886828081786400000000000000000,32,detection,,,,,,,,,,,,,,,,
J1107+2708,26,30,778,17,3,0,10,2,12523,38642751938526200000000000000,16930878799611600000000000000000,31,,,,,,,,,,,,,,,,,
J0816+4924,24,30,714,35,5,0,16,2,12530,38663025083654300000000000000,28604621314386800000000000000000,31,,,,,,,,,,,,,,,,,
J0829+4016,24,30,712,54,9,0,27,2,12529,38660128809978400000000000000,47136701473769600000000000000000,32,,,,,,,,,,,,,,,,,
J0823+2139,27,29,783,12,3,0,10,2,12537,38686196593589400000000000000,17504201977085400000000000000000,31,,,,,,,,,,,,,,,,,
J0824+2606,24,29,696,16,12,0,36,2,12524,38645647992015800000000000000,64030689761971300000000000000000,32,,,,,,,,,,,,,,,,,
J0929+3002,27,30,799,6,4,11,11,2,12538,38689093197355700000000000000,18745032969841500000000000000000,31,detection,,,,,,,,,,,,,,,,
J1322+3248,27,30,803,14,3,0,10,2,12535,38677507002295100000000000000,16965187431205400000000000000000,31,,,,,J1338+0846,25,30,742,,,,0,2,12525,38648544082210300000000000000,0,
J1302+1300,27,30,799,4,3,9,12,2,12527,38654336372702000000000000000,20648440331316600000000000000000,31,,,,,,,,,,,,,,,,,
J1305+4624,26,30,769,12,4,0,13,2,12528,38657232572993400000000000000,22240533787147000000000000000000,31,,,,,,,,,,,,,,,,,
J0905+1545,26,31,804,30,6,0,18,2,12532,38668817741066400000000000000,31793636360040400000000000000000,32,,,,,,,,,,,,,,,,,
J1007+1628,26,32,821,13,5,0,14,2,12533,38671714124797300000000000000,25439199305924800000000000000000,31,,,,,,,,,,,,,,,,,
J1040+3626,27,30,799,4,3,9,11,2,12526,38651440209106700000000000000,18880430588882500000000000000000,31,,,,,,,,,,,,,,,,,
J0929+2705,27,31,826,8,6,11,18,2,12537,38686196593589400000000000000,31118581292596200000000000000000,31,,,,,,,,,,,,,,,,,
J1537+4815,26,30,771,15,6,0,18,2,12538,38689093197355700000000000000,31831188061995000000000000000000,32,,,,,,,,,,,,,,,,,
J1630+4111,26,30,771,3,3,0,9,2,12533,38671714124797300000000000000,15634507906766300000000000000000,31,,,,,,,,,,,,,,,,,