,RMID,Median_CIV_Blueshift,Median_CIV_EQW,RM_DIST_UNSCALE,RM_DIST_SCALE
0,517.0,244.92087668974997,116.076985353,484.39371176298783,2.491384195143036
1,520.0,2192.67108966965,46.693698360249996,2433.1424738030178,4.181150945121505
2,10.0,3043.6017244572,38.7467288734,3284.0525654813755,4.854122118282329
3,11.0,120.0402715836,114.0263272442,361.2447874605673,2.4462651000485303
4,524.0,815.1121666703,91.6667434687,1054.977146297028,3.0053709315257806
5,19.0,358.1846813208,70.264076619,600.3638567964566,2.81205412248216
6,535.0,828.6651005578,106.1001887671,1068.0071043975158,2.945254103684194
7,540.0,207.16627514599998,124.76119516709998,446.01901151881356,2.4041280102311844
8,31.0,211.03854197099997,112.87336173895001,451.03847087892643,2.497235229044804
9,34.0,1061.0011100576,74.051041045,1301.2674774619932,3.2542243199890852
10,36.0,892.5575031703,86.79104174324999,1132.551348935368,3.082514096067326
11,774.0,786.0701654828999,99.1578208092,1025.6649870661936,2.948745564183064
12,41.0,455.95941865195,174.75948972844998,691.6419475855362,1.8894223515324169
13,554.0,195.54947467099998,152.10678386930002,431.6044358806929,2.122068694185986
14,555.0,127.78480523360001,123.4466006466,367.54055231035875,2.3791504854430077
15,45.0,249.7612102209,73.63163224864999,492.8706846742768,2.7386412154611053
16,561.0,638.924026133,108.17242659120001,878.21921232056,2.7935009413286003
17,562.0,1637.968866982,55.1448651318,1878.4673462537146,3.7396834004323085
18,51.0,-47.43526859745,155.61844579235,203.69323819279379,2.0339043408735673
19,564.0,1922.5804786262,82.7618699106,2162.454504427468,3.8849866672933255
20,180.0,333.0149469584,94.35379693860001,573.7188920674652,2.678321340776338
21,59.0,534.3728218581,133.6263482926,772.458802214414,2.5207243494580998
22,573.0,172.31587372099997,138.125341316,409.8802046999305,2.2658890687460613
23,578.0,177.15620725225,225.69104219535,404.5091361174112,1.3188266376237021
24,75.0,242.01667657099998,130.1485973026,480.248042322128,2.3734465047227453
25,591.0,195.54947467099998,78.57616074485,439.17335898839536,2.6876925410768644
26,81.0,1239.1253840074,87.677080999,1478.9812483854269,3.337478054253782
27,87.0,484.0333531332,78.98083386569999,725.0057134786199,2.8449693203846906
28,609.0,811.2398998453,103.7857414836,1050.65997421169,2.944039326186028
29,611.0,4134.61290240505,46.7150738799,4374.895646215947,5.6968078910916855
30,613.0,606.0097581205999,92.7432311303,846.0148657356735,2.85527243781778
31,616.0,263.3141441084,104.7027174345,503.65868206973136,2.5787318360954727
32,623.0,288.4838784709,123.68573336909999,527.1752918171147,2.4545263312840992
33,113.0,125.84867182110001,93.5776823399,369.64097554717887,2.5762494994255185
34,116.0,241.04860986474998,105.72359398855,481.46745325831006,2.560521715087934
35,117.0,543.0854222143499,114.3975379099,782.136459531907,2.6861535644552053
36,630.0,354.3124144958,91.09206136700001,595.1272696426269,2.7081687688495717
37,119.0,30.9781346087,116.3468248744,276.5936716780537,2.392972636420118
38,635.0,859.6432351578,71.4417167866,1100.1725640920583,3.121737353012944
39,124.0,846.0903012703,110.21867765934999,1085.2970437238748,2.9369384855193545
40,128.0,866.41970210155,56.42610099645,1107.4529412769245,3.1824053742370615
41,130.0,-44.5310684787,229.4212888522,153.8706591008373,1.268304207826689
42,363.0,3304.0116684434497,39.469056141799996,3544.471438255183,5.05586444617517
43,142.0,-369.8014817784,283.3822214383,49.56395157335327,0.6921207733027839
44,660.0,189.7410744335,341.11921629605,403.5361711743786,0.09452876955222937
45,153.0,798.65503266415,85.92180110145,1038.742130013129,3.019477082684637
46,155.0,-85.1898701412,269.1250575295,97.81937175059467,0.8501353056896899
47,671.0,619.5626920080999,77.5024506341,860.2358468878542,2.9363014697904584
48,161.0,75.5092030961,130.9882985586,315.25274834353377,2.295949361656114
49,676.0,3508.2737434620003,50.5096613625,3748.597415011666,5.197958584313983
50,172.0,1858.6880760138001,50.1478314253,2099.182812038312,3.918850493665624
51,688.0,509.2030874957,101.3638501359,748.9332120454341,2.744998094653054
52,178.0,748.3155639391499,72.32212505519999,988.97865103593,3.042754128942896
53,692.0,500.49048713945,147.59475475165002,737.8022467100882,2.3159386002966404
54,693.0,489.8417533707,100.18408949299999,729.6692640240612,2.7393329737954435
55,201.0,3777.3962877992,35.561641655749995,4017.8242042670336,5.432245788967285
56,543.0,1061.9691767638499,72.81118075785,1302.288601328791,3.2594108620431452
57,195.0,379.48214885830004,95.2294003774,619.9023310513116,2.7000248572001
58,710.0,1009.6935746263499,64.83237528744999,1250.2910648808693,3.2507676929950033
59,713.0,1111.3405787825,74.8774711491,1351.5734001583226,3.2878512647762976
60,202.0,303.9729457709,144.9060243455,541.0129467042495,2.2451081204200802
61,715.0,1549.87479672035,84.07610618460002,1789.760846884846,3.589340193656295
62,717.0,1157.8077806825,117.232654629,1396.8594145150503,3.153885018210001
63,718.0,61.9562692086,122.0164003016,303.94450465805926,2.363529276948881
64,205.0,-102.6150708537,138.0744290991,186.83291363944696,2.1825715064563393
65,722.0,1663.1386013443998,56.71746988775,1903.5962205865892,3.754340363093608
66,724.0,269.1225443459,73.4461184396,511.9799166149857,2.749581017534844
67,725.0,2364.98696338195,55.889606424499995,2605.2818131904396,4.29392340793196
68,729.0,966.1305728452,98.36647319375,1205.718653992699,3.0866342328799172
69,207.0,743.4752304079,67.8339974586,984.3127090205245,3.057656553722397
70,220.0,580.8400237581,104.27606047274999,820.3474590700195,2.7757784806095898
71,737.0,313.6536128334,117.3153598747,552.7701152834829,2.5192916670450196
72,738.0,360.1208147333,74.3543297951,602.0118807831636,2.7945500388311224
73,227.0,567.2870898706,104.51562972034999,806.788298862337,2.7651715136231214
74,230.0,437.5661512332,60.523817652,679.7849760142143,2.8985847355761036
75,231.0,282.6754782334,91.1314864468,523.9679474723442,2.6683672264878044
76,237.0,284.6116116459,134.8703824108,522.4115430080776,2.348477494131158
77,238.0,272.9948111709,114.69012025469999,512.4557702193322,2.516359245969272
78,253.0,693.135761683,96.48847107015,932.9038418003136,2.895735107468188
79,770.0,480.16108630819997,125.19728384185,718.6549558063836,2.5600282426458127
80,299.0,1165.5523143325,47.2422859015,1406.4966026713332,3.4185909664024954
81,262.0,197.48560808349998,117.96932909780001,437.0919559532481,2.4534503042808904
82,780.0,433.69388440824974,123.11098084282965,672.3074208396026,2.5462861581708673
83,271.0,3619.60141468065,46.74725407854999,3859.98157627269,5.29141858509048
84,784.0,586.6484239956,99.9808601143,826.3565422861648,2.8040427556959977
85,275.0,-173.28394040985,191.7330350103,97.2964880329192,1.6566519838812679
86,283.0,158.7629398335,83.35191119640001,402.7810878045151,2.6460283791233494
87,796.0,-470.48041922830004,239.24786700419997,53.64841479195905,1.1412090465972995
88,298.0,461.76781888945,80.3768547372,702.7453091846708,2.8250208928567946
89,811.0,416.2686836958,102.1283731334,656.1380352801593,2.6820620201551084
90,818.0,485.9694865457,92.8252197715,726.2011691505132,2.7774311725492757
91,563.0,510.17115420195,95.8981569384,750.1922529238639,2.776205965957644
92,311.0,910.95077058895,102.56433685120001,1150.3883981100707,3.0253756407309735
93,317.0,-44.5310684787,126.74771369145,217.11880387178374,2.289760757740471
94,831.0,1353.3572553447998,50.38850909635,1594.1015933338488,3.543087076648051
95,321.0,-159.73100652235001,174.98092293759998,114.76618700040937,1.8287172724179426
96,327.0,79.38146992109999,136.7017745783,317.99311558803913,2.2463759630263254
97,330.0,1197.4985156386501,93.26669365925,1437.2034258002225,3.2848538519643284
98,339.0,617.6265585955999,69.1330169731,858.6856867548765,2.971082310696559
99,342.0,-176.1881405286,122.788044179,150.8969881961014,2.279635928432097
100,343.0,669.9021607330001,176.8218738032,906.3063946789076,1.8891260766859037
101,348.0,-61.9562691912,146.50735130209998,200.46693080501655,2.117870950877331
102,353.0,487.9056199582,137.8231239967,725.7152480075328,2.4395930061786126
103,357.0,1199.43464905115,71.53756068535,1439.7093698448077,3.3640807897999716
104,359.0,464.6720190082,184.14725917220002,699.8697955458271,1.7762062584659657
105,361.0,1076.4901773576,93.5067530292,1316.1830835158814,3.1911227274903413
106,743.0,1033.8952422825998,112.05455223620001,1273.0509605474147,3.076553325507188
107,372.0,4.8403335399500005,171.36119897645,235.86128542600136,1.879912410578552
108,374.0,11.616800483699999,110.5576758877,261.3674074324713,2.424634411213319
109,379.0,588.5845574081,156.94804486549998,825.6458788218953,2.208365852238868
110,380.0,-15.489067291300001,109.3237046568,240.9026073243143,2.422157779934382
111,381.0,404.6518832208,137.2183202147,642.3998247500336,2.390321578916227
112,387.0,-9.6806670538,141.3534181327,234.98439409536113,2.177411294625597
113,389.0,79.38146992109999,214.35011618169997,302.41120183822835,1.431950579593781
114,401.0,139.40160570860002,191.1380092028,369.907807773011,1.6788161518649312
115,405.0,265.2502775209,159.54833108895002,500.9612338112449,2.050377019253021
116,408.0,420.1409505208,90.20775312985,660.7158036753017,2.7511514287201533
117,409.0,991.3003072077,91.4536358878,1231.0803593172122,3.1353560493225228
118,416.0,149.0822727711,246.61617662330002,372.189690946425,1.0994139463529813
119,424.0,493.7140201957,92.4910846611,733.9501375741577,2.784031037346038
120,435.0,-118.1041381537,148.222939932,173.1934690959689,2.090998064587588
121,159.0,1189.7539819886501,84.17604249280002,1429.7100667622415,3.3126183239117126
122,451.0,509.2030874957,74.4645687395,750.3279821105834,2.8808686436780433
123,452.0,-112.29573791620001,142.71186372305002,180.0133546126006,2.1408877384091047
124,454.0,2282.7012933508,57.6529037468,2523.0106218528053,4.226293259603047
125,456.0,106.4873376961,150.520058044,342.4911460894027,2.116696147782355
126,461.0,664.0937604955001,106.15981989645,903.4606398854044,2.8232251004651627
127,474.0,830.6012339703226,61.999353497537754,1071.4937389909903,3.138059841234955
128,485.0,1121.021245845,80.19151993564999,1361.093336400302,3.2757197715312154
129,493.0,205.23014173349998,89.84652746959999,447.55849800679624,2.635058491424615
130,765.0,556.6383561018499,100.19502400205,796.3637814815155,2.7827779144557474
131,507.0,-15.489067291300001,81.3028756838,248.38262923152803,2.5783857936385903
132,508.0,3366.9360043496004,36.100814945399996,3607.3992646904235,5.1105014994136555
